title,authors,publishedDate,categories,description,averageRating,textSnippet
To Marry an English Lord,['Gail Maccoll'],2012,['England'],Read about a unique set of American women cutting a swath through stodgy 19th century British aristocracy. The book covers not just who they were but the lows and the triumphs of their inter-continental marriages. Also included are many fascinating details on how they dressed and what they had to go through.,N/A,N/A
Marry Me,['John Updike'],1976,['Adultery'],N/A,N/A,N/A
Bungalow 2,['Danielle Steel'],2007-01,['Domestic fiction'],"When Tanya, a freelance writer, is offered the chance to write a Hollywood screenplay, it's a dream she'd put aside so that she could devote her energies to her family. Her life collides with Douglas Wayne, who seems to have his sights set on her.",N/A,N/A
From a Crooked Rib,['Nuruddin Farah'],1970,['Fiction'],"Novel raising questions of female circumcision, choice in marriage, polygamous marriage, and divorce.",N/A,N/A
The Mingling of Souls,['Matt Chandler'],2015,['Man-woman relationships'],"""The Song of Solomon offers strikingly candid, and timeless, insights on romance, dating, marriage, and sex. We need to heed Solomon's words!""--Back cover",N/A,N/A
Something Wonderful,['Judith McNaught'],1990,[],"The Duke of Hawthorne is a cynical, blase, sophisticated rake. Alexandra Lawrence is a penniless, practical girl innocent in the ways of the world, but courageous and headstrong. This is the story of their marriage, a battleground of tempers, society, money, intrigue and jealousy.",N/A,N/A
"Rabbit, Run",['John Updike'],1960,"['Angstrom, Harry (Fictitious character)']","Rabbit (Harry Angstrom) is a high school basketball star grown up and married, with a young child and a baby on the way. His wife, Janice, seems dull and boring to him, and his family life makes him feel tied down.in a fit of desperation, Rabbit runs away. Although he returns to his town, he doesn't go home to his pregnant wife. Instead Rabbit acquires a lover, Ruth, and moves in with her. And Rabbit continues to run ...",N/A,N/A
Three Discourses on Imagined Occasions,['S©ıren Kierkegaard'],1993,['Family & Relationships'],"Three Discourses on Imagined Occasions was among seven signed works by Kierkegaard, each published concurrently with one of his seven pseudonymous works - in this case, with Stages on Life's Way. The two volumes not only have a chronological relation but distinctively treat some common themes. It is quite possible, the editors suggest, that Kierkegaard worked alternatively on the two manuscripts: on Stages at his ordinary desk and on Discourses on Imagined Occasions at his high desk. The first of the three discourses, ""On the Occasion of a Confession"", centers on stillness, wonder, and the ultimate object of a human being's seeking - in contrast to the speechmaking on erotic love in ""'In Vino Veritas, '"" part one of Stages. The second discourse, ""On the Occasion of a Wedding"", complements the second part of Stages in which Judge William delivers a panegyric on marriage. The third discourse, ""At a Graveside"", sharpens the ethical and religious earnestness implicit in Quidam's ""A Story of Suffering"", in the third part of the other work.",5,N/A
Passionate Marriage,['David Morris Schnarch'],1999,['Marital psychotherapy'],N/A,N/A,N/A
The Family Structure in Islam,"[""Hammudah 'Abd al-'Ati""]",2008,['Families'],N/A,N/A,N/A
The Black Dwarf,['Walter Scott'],2004-10,['Fiction'],"As I may, without vanity, presume that the name and official description prefixed to this Proem will secure it, from the sedate and reflecting part of mankind, to whom only I would be understood to address myself, such attention as is due to the sedulous instructor of youth, and the careful performer of my Sabbath duties, I will forbear to hold up a candle to the daylight, or to point out to the judicious those recommendations of my labours which they must necessarily anticipate from the perusal of the title-page. Nevertheless, I am not unaware, that, as Envy always dogs Merit at the heels, there may be those who will whisper, that albeit my learning and good principles cannot (lauded be the heavens) be denied by any one, yet that my situation at Gandercleugh hath been more favourable to my acquisitions in learning than to the enlargement of my views of the ways and works of the present generation. To the which objection, if, peradventure, any such shall be started, my answer shall be threefold:",N/A,N/A
The Twits,['Roald Dahl'],2014-07-01,[],"How do you outwit a Twit? Mr. and Mrs. Twit are the smelliest, nastiest, ugliest people in the world. They hate everything—except playing mean jokes on each other, catching innocent birds to put in their Bird Pies, and making their caged monkeys, the",N/A,N/A
Mirror Image,['Danielle Steel'],1998,['France'],N/A,N/A,N/A
The New Testament on Sexuality,['William Loader'],2012-09-13,['Psychology'],"This is the fifth and final installment of William Loader's authoritative, acclaimed series on attitudes toward sexuality in the ancient world. Sexual themes are never far beneath the surface where there are human beings. This was certainly the case for Christians in the first-century world. Some began in a strongly Jewish context and worked out their faith in dialogue with their scriptural heritage. Others had to work out their sexual ethics in a world strongly influenced by Greco-Roman ideals and practices. In The New Testament on Sexuality William Loader explores the relevant cultural contexts and looks at New Testament texts related to sexuality, highlighting both the warnings about sexual wrongdoing and the affirmations of sexual union. He deals with specific themes such as divorce, same-sex relations, women and men in leadership, and celibacy; individual behavior, gender roles and rules, preferences, and hopes also fall under the scope of his investigation. Broad-ranging and thorough, this book engages both the biblical texts and the diverse ways in which they have been interpreted.",N/A,N/A
Anne of Ingleside,['Lucy Maud Montgomery'],2021,['Canada'],"Anne is the mother of five, with never a dull moment in her lively home. And now with a new baby on the way and insufferable Aunt Mary Maria visiting - and wearing out her welcome - Anne's life is full to bursting.",N/A,N/A
5 Love Languages,['Gary Chapman'],2015,['FAMILY & RELATIONSHIPS'],"For use in schools and libraries only. Outlines five expressions of love--quality time, words of affirmation, gifts, acts of service, and physical touch--and explains how to identify and communicate effectively in a spouse's ""love language.",N/A,N/A
Emily's Quest,['Lucy Maud Montgomery'],1983,['Canada'],"The third and final volume of Lucy Maud Montgomery's celebrated Emily trilogy, ""Emily's Quest"" is a vigorously drawn study of a woman coming to terms with love and her own ambition. In no other novel did Montgomery explore more fully the beauty, complexity, and wonder of love. In every detail, this mature novel, by one of the world's best-loved authors, captures the drama and confusion of a young life on the brink. Along with ""Emily of New Moon"" and ""Emily Climbs,"" ""Emily's Quest"" is an honest and poignant portrait of a singular woman.",N/A,N/A
Once and Always,['Judith McNaught'],1989-03,['Fiction'],"""Once and Always,"" one of Judith McNaught's most masterful and moving love stories, powerfully brings to life the fiery passion of a free-spirited American beauty and a troubled English lord. Suddenly orphaned and alone, Victoria Seaton sails the vast ocean, eager to reclaim her heritage at Wakefield, the sumptuous English estate of a distant cousin, the notorious Lord Jason Fielding. Bewildered by his arrogance yet drawn to his panther-like grace, she senses the painful memories that smolder in his eyes. When he gathers her at last into his arms, arousing a sweet, insistent hunger, they wed and are embraced by fierce, consuming joy -- free from the past's cruel grasp. Then, in a moment of anguish, Victoria discovers the treachery at the heart of their love . . . a love she had dreamed would triumph not just once, but always.",N/A,N/A
Maps of Our Spectacular Bodies,['Maddie Mortimer'],2022-06-28,['Fiction'],"This lyrical debut novel is at once a passionate coming-of-age story, a meditation on illness and death, and a kaleidoscopic journey through one woman's life--told in part by the malevolent voice of her disease.",N/A,N/A
"Marriage, Divorce, and Remarriage in the Bible",['Jay E. Adams'],1986,['Family & Relationships'],"Many pastors, counselors, and theologians consider this book the most helpful on the issue of marriage and divorce.",4,N/A
The Muslim Marriage Guide,['Ruqaiyyah Waris Maqsood'],2000,['Families'],N/A,N/A,N/A
The Subjection of Women,['John Stuart Mill'],2005,['Equality'],N/A,N/A,N/A
Eight Dates,"['John Schwartz Gottman', 'Doug Abrams', 'Julie Schwartz Gottman', 'Rachel Abrams']",2019-09-05,['Family & Relationships'],"What really makes a relationship work? How can we stay interested in our partner for ever? How can we be happier in our marriage? Doctors John and Julie Gottman have spent over three decades studying the habits of 3000 couples. Within 10 minutes of meeting a couple, they can predict who will stay happily together or who will split up, with 94% accuracy. Based on their findings, they have now created an easy series of eight dates - spanning commitment; trust; conflict; intimacy; sex; fun; work; money; and family values - that will lead to a happier, lasting love life. Eight Dates draws on rigorous scientific and psychological research about how we fall in love using case studies of real-life couples whose relationships have improved after committing time to each other and following the dates. Full of innovative exercises and conversation starters to explore ways to deepen each aspect of the relationship, Eight Dates is an essential resource that makes a relationship fulfilling.",N/A,N/A
"Catherine, Called Birdy",['Karen Cushman'],1994,['Juvenile Fiction'],"The thirteen-year-old daughter of an English country knight keeps a journal in which she records the events of her life, particularly her longing for adventures beyond the usual role of women and her efforts to avoid being married off.",3,N/A
The One,['Kiera Cass'],2014,['Contests'],"The highly anticipated third book in Kiera Cass's #1 New York Times bestselling Selection series, The One will captivate readers who love dystopian YA fiction and fairy tales. The One is perfect for the fans who have followed America's whirlwind romance since it began--and a swoon-worthy read for teens who have devoured Veronica Roth's Divergent, Ally Condie's Matched, or Lauren Oliver's Delirium. The Selection changed America Singer's life in ways she never could have imagined. Since she entered the competition to become the next princess of Illéa, America has struggled with her feelings for her first love, Aspen--and her growing attraction to Prince Maxon. Now she's made her choice . . . and she's prepared to fight for the future she wants. Find out who America will choose in The One, the enchanting, beautifully romantic third book in the Selection series!",N/A,N/A
My Policeman,['Bethan Roberts'],2012,['Fiction'],"The book takes inspiration from E M Forster and the writer's long-term relationship with Bob Buckingham and his wife. The novel is set in late 1950s Brighton and unfolds through the twin narratives of Marion and Patrick, who write about the man at the centre of both their lives.",N/A,N/A
Marriage,['Robert Briffault'],1956,['Marriage'],N/A,N/A,N/A
At the Altar,['Lucy Maud Montgomery'],1995,['Courtship'],"Stern parents, awkward circumstances, misunderstandings, lovers’ quarrels – and one very determined cat – are some of the many hindrances that Montgomery’s characters find themselves battling on the way to the altar. But Montgomery helps her lovers overcome these obstacles to true love by a wonderful assortment of means: maiden aunts come to the rescue; two pairs of twins play major roles; a marauding pig is an unusual cupid; the lovers themselves come up with striking solutions. Whatever storms they must weather on the sea of love, whether they are rich or poor, young or old, trembling with romance or properly practical, in Montgomery’s hands courting couples seem destined to live “happily ever after.” Funny, heartwarming, and full of romance, these eighteen stories are sure to delight Montgomery’s many fans.",N/A,N/A
Why Marriages Succeed Or Fail,"['John Gottman', 'John Mordechai Gottman', 'Nan Silver']",1995-06,['Family & Relationships'],What you can learn from the breakthrough research to make your marriage last.,N/A,N/A
A Dubious Legacy,['Mary Wesley'],1993,['Domestic fiction'],"On a midsummer weekend in 1954 James and Matthew, two rather priggish young Englishmen, take their girls, Barbara and Antonia, away for a brief holiday at a friend's home in order to propose marriage. But no one is prepared for what unfolds--and will spin itself out over the next 40 years.",N/A,N/A
Lightning,['Danielle Steel'],1996,['Fiction'],"Alexandra Parker's successful partnership at a prestigious New York firm is turned upside-down by a shattering medical diagnosis, while her financier husband is haunted by his own ghosts and a career disaster. Reprint.",N/A,N/A
The Complete Book of Christian Wedding Vows,"['H. Norman Wright', 'H. Norman Wright DMin']",2003-08,['Family & Relationships'],This book offers help and inspiration to couples who desire creative and Christ-honoring wedding vows.,N/A,N/A
Ethan Frome,['Edith Wharton'],1992-10,['Fiction'],"Ethan Frome, a poor, downtrodden New England farmer is trapped in a loveless marriage to his invalid wife, Zeena. His ambition and intelligence are oppressed by Zeena's cold, conniving character. When Zeena's young cousin Mattie arrives to help care for her, Ethan is immediately taken by Mattie's warm, vivacious personality. They fall desperately in love as he realizes how much is missing from his life and marriage. Tragically, their love is doomed by Zeena's ever-lurking presence and by the social conventions of the day. Ethan remains torn between his sense of obligation and his urge to satisfy his heart's desire up to the suspenseful and unanticipated conclusion.",N/A,N/A
Bunner Sisters,['Edith Wharton'],2005-03,['Fiction'],"Purchase one of 1st World Library's Classic Books and help support our free internet library of downloadable eBooks. Visit us online at www.1stWorldLibrary.ORG - - In the days when New York's traffic moved at the pace of the drooping horse-car, when society applauded Christine Nilsson at the Academy of Music and basked in the sunsets of the Hudson River School on the walls of the National Academy of Design, an inconspicuous shop with a single show-window was intimately and favourably known to the feminine population of the quarter bordering on Stuyvesant Square. It was a very small shop, in a shabby basement, in a side-street already doomed to decline; and from the miscellaneous display behind the window-pane, and the brevity of the sign surmounting it (merely ""Bunner Sisters"" in blotchy gold on a black ground) it would have been difficult for the uninitiated to guess the precise nature of the business carried on within. But that was of little consequence, since its fame was so purely local that the customers on whom its existence depended were almost congenitally aware of the exact range of ""goods"" to be found at Bunner Sisters'.",N/A,N/A
The Purple Violet of Oshaantu,['Neshani Andreas'],2001,['Fiction'],"Annotation Mee Ali has good reason to be thankful; she has a happy marriage. For some in her village, marriage turns out to be a loveless entrapment.",5,N/A
River Lady,['Jude Deveraux'],1985,['Fiction'],"Jude Deveraux portrays the power of a woman set on a bold course for true love -- and the glory of ful'lling a magni'cent promise. ""River Lady"" Handsome plantation owner Wesley Stanford would barely recall the poverty-stricken young girl named Leah Simmons who adored him from afar years ago'.Now, in an unexpected twist of fate -- a chance encounter on the Virginia riverfront -- he will become Leah's reluctant husband. Determined to forge a new life in untamed Kentucky, Wesley discovers that the bride he hopes to abandon is passionate, proud, and brave -- and may be the woman he cannot live without.",N/A,N/A
Gaban,['Premacanda'],2000,['Fiction'],"Gaban, first published in 1931, five years before Premchard's death, is the story of Ramanath, a morally weak but physically charming youth brought to near-disaster by his beautiful wife Jalpa's inordinate craving for jewelry. This is a felicitous translation by Christopher R King and will enable many readers to appreciate Premchand's important novel, available for the first time in English.",5,N/A
Criminal Conversation,['Evan Hunter'],1994,['Fiction'],"A young D.A. thinks he has the goods on a Mafia boss when he tapes conversations of the man in bed with his mistress, but his investigation is compromised when the woman's identity becomes known.",N/A,N/A
The Duke And I,['Julia Quinn'],2000-01-05,['Fiction'],"In an effort to keep himself footloose and single in spite of the efforts of the town's matchmakers, Simon Basset, Duke of Hastings, begins a sham courtship with Daphne Bridgerton",N/A,N/A
The Eve of Saint Venus,['Anthony Burgess'],1971,[],N/A,N/A,N/A
Things I Wish I'd Known Before We Got Married,['Gary D. Chapman'],2010,['Religion'],"Gary Chapman writes, ""Most people spend far more time in preparation for their vocation than they do in preparation for marriage."" No wonder the divorce rate hovers around fifty percent. Bestselling author and marriage counselor Gary Chapman hopes to change that with his newest book. Gary, with more than 35 years of experience counseling couples, believes that divorce is the lack of preparation for marriage and the failure to learn the skills of working together as intimate teammates. So he put together this practical little book, packed with wisdom and tips that will help many develop the loving, supportive and mutually beneficial marriage men and women long for. It's the type of information Gary himself wished he had before he got married. The material lends itself to heart-felt discussions by dating or engaged couples. To jump-start the exchanges, each short chapter includes insightful ""Talking it Over"" questions and suggestions. And, the book includes information on interactive websites as well as books that will enhance the couples experience. Dr. Chapman even includes a thought-provoking appendix. By understanding and balancing the five key aspects of life, dating couples can experience a healthy relationship. A revealing learning exercise is included at the end.",N/A,N/A
