title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Adventures of Robinson Crusoe,['Daniel Defoe'],1921,['Castaways'],N/A,N/A,N/A,en
Mockingjay,['Suzanne Collins'],2010,['Juvenile Fiction'],"The Capitol is angry that Katniss Everdeen has survived the Hunger Games twice, stirring unrest by having defied the rules, and President Snow has made it clear that she, her family and friends, and the people of District 13 may all be held accountable.",N/A,N/A,en
Lord of the Flies,['William Golding'],1999-10,['Fiction'],N/A,N/A,N/A,en
"The Life and Adventures of Robinson Crusoe, of York, Mariner",['Daniel Defoe'],1899,['Adventure stories'],N/A,N/A,N/A,en
The Adventures of Robinson Crusoe,['Daniel Defoe'],1898,['Castaways'],N/A,N/A,N/A,en
The Adventures of Robinson Crusoe,[],1900,['Castaways'],N/A,N/A,N/A,en
The Story of a Shipwrecked Sailor,['Gabriel García Márquez'],1996,['Sailors'],"This is Marquez's account of a real-life event. In 1955, eight crew members of the destroyer Caldas, were swept into the Caribbean Sea. The sole survivor, Luis Alejandro Belasco, told the true version of the events to Marquez, causing great scandal at the time.",N/A,N/A,en
Wish Me Luck,['James Heneghan'],1998-10-13,['Juvenile Fiction'],"While on an ocean voyage to Canada to escape the air raids in his Liverpool home, twelve-year-old Jaimie Monaghan faces another kind of life-threatening situation.",N/A,N/A,en
Lord of the Flies,['William Golding'],1962,['Fiction'],"TheLiterature Made Easy Series is more than just plot summaries. Each book describes a classic novel and drama by explaining themes, elaborating on characters, and discussing each author's unique literary style, use of language, and point of view. Extensive illustrations and imaginative, enlightening use of graphics help to make each book in this series livelier, easier, and more fun to use than ordinary literature plot summaries. An unusual feature, ""Mind Map"" is a diagram that summarizes and interrelates the most important details that students need to understand about a given work. Appropriate for middle and high school students.",N/A,N/A,en
The adventures of Robinson Crusoe [adapted from pt. 1 of the work by D. Defoe].,['Daniel Defoe'],1907,[],N/A,N/A,N/A,en
The Ballad of Songbirds and Snakes (Deluxe Edition) (a Hunger Games Novel),['Suzanne Collins'],2025-02-04,['Young Adult Fiction'],"A stunning deluxe edition of The Ballad of Songbirds and Snakes! This paperback edition features gorgeous sprayed edges with stenciled artwork and an iconic new cover. This is a breathtaking collectible perfect for the long-time fan or new Hunger Games reader. It is the morning of the reaping that will kick off the tenth annual Hunger Games. In the Capitol, eighteen-year-old Coriolanus Snow is preparing for his one shot at glory as a mentor in the Games. The once-mighty house of Snow has fallen on hard times, its fate hanging on the slender chance that Coriolanus will be able to outcharm, outwit, and outmaneuver his fellow students to mentor the winning tribute. The odds are against him. He's been given the humiliating assignment of mentoring the female tribute from District 12, the lowest of the low. Their fates are now completely intertwined--every choice Coriolanus makes could lead to favor or failure, triumph or ruin. Inside the arena, it will be a fight to the death. Outside the arena, Coriolanus starts to feel for his doomed tribute... and must weigh his need to follow the rules against his desire to survive no matter what it takes.",N/A,N/A,en
Captains Courageous,['Rudyard Kipling'],1997-05,['Fiction'],"Harvey Cheyne is the over-indulged son of a millionaire. When he falls overboard from an ocean liner her is rescued by a Portuguese fisherman and, initially against his will, joins the crew of the We're Here for a summer. Through the medium of an exciting adventure story, Captain'sCourageous (1897) deals with a boy who, like Mowgli in The Jungle Book, is thrown into an entirely alien environment. This is the only edition of the novel in print, and it offers a stimulating introduction and detailed notes which help readers navigate among the historical, geographical, andmaritime references found in the book.",N/A,N/A,en
The Life and Strange Adventures of Robinson Crusoe,['Daniel Defoe'],N/A,[],N/A,N/A,N/A,en
